Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR12022146,AMPLICON,566,16642815,PRJNA639601,SAMN15240198,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",9402636,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug3B,[ENVO:01000049],coral nursery,coral reef,SRX8554035,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug3B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug3B,SRP267474,not applicable
SRR12022147,AMPLICON,570,22694312,PRJNA639601,SAMN15240197,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",12978468,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug3A,[ENVO:01000049],coral nursery,coral reef,SRX8554034,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug3A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug3A,SRP267474,not applicable
SRR12022148,AMPLICON,583,61825784,PRJNA639601,SAMN15240196,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",32790356,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug20B,[ENVO:01000049],coral nursery,coral reef,SRX8554033,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug20B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug20B,SRP267474,not applicable
SRR12022149,AMPLICON,560,26120739,PRJNA639601,SAMN15240250,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",14523270,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep9B,[ENVO:01000049],coral nursery,coral reef,SRX8554032,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep9B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:51:00Z,1,Acropora.cervicornis.Sep9B,SRP267474,not applicable
SRR12022150,AMPLICON,561,27207453,PRJNA639601,SAMN15240249,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",15295589,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep9A,[ENVO:01000049],coral nursery,coral reef,SRX8554031,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep9A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep9A,SRP267474,not applicable
SRR12022151,AMPLICON,544,18082816,PRJNA639601,SAMN15240227,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",10240260,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep3A,[ENVO:01000049],coral nursery,coral reef,SRX8554030,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep3A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep3A,SRP267474,not applicable
SRR12022152,AMPLICON,575,18128309,PRJNA639601,SAMN15240226,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",10108927,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep1B,[ENVO:01000049],coral nursery,coral reef,SRX8554029,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep1B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep1B,SRP267474,not applicable
SRR12022153,AMPLICON,566,23523059,PRJNA639601,SAMN15240225,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",13110826,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep1A,[ENVO:01000049],coral nursery,coral reef,SRX8554028,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep1A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep1A,SRP267474,not applicable
SRR12022154,AMPLICON,563,32245128,PRJNA639601,SAMN15240224,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17964413,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep13B,[ENVO:01000049],coral nursery,coral reef,SRX8554027,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep13B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep13B,SRP267474,not applicable
SRR12022155,AMPLICON,563,27369847,PRJNA639601,SAMN15240223,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",15335801,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep13A,[ENVO:01000049],coral nursery,coral reef,SRX8554026,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep13A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep13A,SRP267474,not applicable
SRR12022156,AMPLICON,575,54633273,PRJNA639601,SAMN15240222,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",31083282,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep10B,[ENVO:01000049],coral nursery,coral reef,SRX8554025,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep10B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep10B,SRP267474,not applicable
SRR12022157,AMPLICON,543,23885618,PRJNA639601,SAMN15240221,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",13136290,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep10A,[ENVO:01000049],coral nursery,coral reef,SRX8554024,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep10A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep10A,SRP267474,not applicable
SRR12022158,AMPLICON,583,30824305,PRJNA639601,SAMN15240220,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",16813003,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug9B,[ENVO:01000049],coral nursery,coral reef,SRX8554023,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug9B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug9B,SRP267474,not applicable
SRR12022159,AMPLICON,587,53669576,PRJNA639601,SAMN15240195,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",28132949,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug20A,[ENVO:01000049],coral nursery,coral reef,SRX8554022,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug20A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug20A,SRP267474,not applicable
SRR12022160,AMPLICON,559,26189858,PRJNA639601,SAMN15240248,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",14610997,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep7B,[ENVO:01000049],coral nursery,coral reef,SRX8554021,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep7B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep7B,SRP267474,not applicable
SRR12022161,AMPLICON,569,41547102,PRJNA639601,SAMN15240247,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",23389829,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep7A,[ENVO:01000049],coral nursery,coral reef,SRX8554020,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep7A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep7A,SRP267474,not applicable
SRR12022162,AMPLICON,573,25063105,PRJNA639601,SAMN15240246,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",14165207,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep5B,[ENVO:01000049],coral nursery,coral reef,SRX8554019,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep5B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep5B,SRP267474,not applicable
SRR12022163,AMPLICON,557,32144643,PRJNA639601,SAMN15240245,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17846816,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep5A,[ENVO:01000049],coral nursery,coral reef,SRX8554018,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep5A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep5A,SRP267474,not applicable
SRR12022164,AMPLICON,580,16006668,PRJNA639601,SAMN15240244,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",9088349,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep58B,[ENVO:01000049],coral nursery,coral reef,SRX8554017,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep58B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep58B,SRP267474,not applicable
SRR12022165,AMPLICON,574,23557566,PRJNA639601,SAMN15240243,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",13257423,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep58A,[ENVO:01000049],coral nursery,coral reef,SRX8554016,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep58A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep58A,SRP267474,not applicable
SRR12022166,AMPLICON,558,37457135,PRJNA639601,SAMN15240242,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",20833506,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep57B,[ENVO:01000049],coral nursery,coral reef,SRX8554015,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep57B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep57B,SRP267474,not applicable
SRR12022167,AMPLICON,583,62135510,PRJNA639601,SAMN15240219,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",33172575,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug9A,[ENVO:01000049],coral nursery,coral reef,SRX8554014,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug9A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug9A,SRP267474,not applicable
SRR12022168,AMPLICON,585,43784005,PRJNA639601,SAMN15240192,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",23510434,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug13B,[ENVO:01000049],coral nursery,coral reef,SRX8554013,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug13B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug13B,SRP267474,not applicable
SRR12022169,AMPLICON,557,14434992,PRJNA639601,SAMN15240218,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",8099098,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug7B,[ENVO:01000049],coral nursery,coral reef,SRX8554012,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug7B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug7B,SRP267474,not applicable
SRR12022170,AMPLICON,566,22126459,PRJNA639601,SAMN15240217,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",12440816,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug7A,[ENVO:01000049],coral nursery,coral reef,SRX8554011,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug7A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug7A,SRP267474,not applicable
